Year,Status,PTS,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1980,Champion,109.5,45,92,48.91304348,0,0.666666667,0,19.5,24,81.25,17.16666667,34.16666667,51.33333333,26.66666667,9.166666667,6.166666667,20,24.5
1980,Runner Up,104.1666667,43,88.33333333,48.67924528,0.166666667,2.666666667,6.25,18,24,75,9.5,27.66666667,37.16666667,31,9.333333333,10,15.16666667,22.5
1981,Champion,96.5,40.16666667,85.33333333,47.0703125,0.5,2.833333333,17.64705882,15.66666667,21.5,72.86821705,16.66666667,30.66666667,47.33333333,22.83333333,6.666666667,5.333333333,16.83333333,23.16666667
1981,Runner Up,86.66666667,33.83333333,89.33333333,37.87313433,0.5,1.833333333,27.27272727,18.5,25.83333333,71.61290323,18.66666667,24,42.66666667,18,7.833333333,5.666666667,13.16666667,20.16666667
1982,Champion,112.3333333,45.5,91.83333333,49.54627949,0.166666667,1.5,11.11111111,21.16666667,31.5,67.1957672,18.33333333,29,47.33333333,31.33333333,10.66666667,7,19.33333333,25.5
1982,Runner Up,112.5,46.16666667,92.5,49.90990991,0.666666667,2.333333333,28.57142857,19.5,27.83333333,70.05988024,15,26.66666667,41.66666667,28.66666667,8.833333333,8.5,16.66666667,26.5
1983,Champion,110.5,43,88.5,48.58757062,0,0.75,0,24.5,34.5,71.01449275,18,30,48,26,11,8,17,22.25
1983,Runner Up,100.5,40.75,90.25,45.15235457,0.75,3.75,20,18.25,23.25,78.49462366,15.25,27.5,42.75,24.5,9,7.25,20,30
1984,Champion,116,42,92.85714286,45.23076923,1.285714286,3.285714286,39.13043478,30.71428571,38.57142857,79.62962963,17.42857143,30,47.42857143,24.14285714,9.857142857,4.571428571,15.85714286,28.14285714
1984,Runner Up,117.4285714,46.71428571,90.71428571,51.49606299,0.857142857,2.571428571,33.33333333,23.14285714,32.85714286,70.43478261,13.71428571,30,43.71428571,28.28571429,8.428571429,5.857142857,16.57142857,29.42857143
1985,Champion,115.8333333,46.33333333,90.5,51.19705341,1.333333333,3.833333333,34.7826087,21.83333333,29.66666667,73.59550562,11,31.66666667,42.66666667,32,9.166666667,4,12.5,25.33333333
1985,Runner Up,113.1666667,43.83333333,92,47.64492754,2.166666667,5.666666667,38.23529412,23.33333333,30.33333333,76.92307692,12.33333333,30.83333333,43.16666667,30.83333333,8.666666667,5,14,22.16666667
1986,Champion,107.6666667,43.66666667,88.83333333,49.15572233,1.666666667,5.333333333,31.25,18.66666667,23,81.15942029,15,30.16666667,45.16666667,28,9.833333333,7.166666667,15.83333333,21
1986,Runner Up,102,41.83333333,92.83333333,45.06283662,0.833333333,2.833333333,29.41176471,17.5,24.66666667,70.94594595,18.5,27,45.5,27.5,9,6.666666667,14.33333333,22.16666667
1987,Champion,115.1666667,46.66666667,90.66666667,51.47058824,2.666666667,6.833333333,39.02439024,19.16666667,25.83333333,74.19354839,12.83333333,27.5,40.33333333,26.66666667,8,5.833333333,11.16666667,23.83333333
1987,Runner Up,111,43.66666667,86.16666667,50.67698259,2.333333333,7,33.33333333,21.33333333,27,79.01234568,12,29.33333333,41.33333333,27.83333333,5,5.5,13.66666667,21.33333333
1988,Champion,98.71428571,35.42857143,75.85714286,46.70433145,1.428571429,5.714285714,25,26.42857143,35.28571429,74.89878543,10.28571429,27.28571429,37.57142857,23.71428571,5.857142857,3,13.14285714,22
1988,Runner Up,101.2857143,38.57142857,81,47.61904762,1.285714286,4.428571429,29.03225806,22.85714286,29.71428571,76.92307692,13.57142857,30,43.57142857,23.28571429,6.857142857,4.857142857,11.71428571,26.71428571
1989,Champion,109,41.75,79.25,52.68138801,1.25,5,25,24.25,31.25,77.6,11.25,28.75,40,24.25,4,5.25,11.25,28.75
