Title,Genre,Director,Year,Runtime (Minutes),Rating,Votes
Guardians of the Galaxy,Action,James Gunn,2014,121,8.1,757074
Prometheus,Adventure,Ridley Scott,2012,124,7,485820
Split,Horror,M. Night Shyamalan,2016,117,7.3,157606
Sing,Animation,Christophe Lourdelet,2016,108,7.2,60545
Suicide Squad,Action,David Ayer,2016,123,6.2,393727
The Great Wall,Action,Yimou Zhang,2016,103,6.1,56036
La La Land,Comedy,Damien Chazelle,2016,128,8.3,258682
Mindhorn,Comedy,Sean Foley,2016,89,6.4,2490
The Lost City of Z,Action,James Gray,2016,141,7.1,7188
Passengers,Adventure,Morten Tyldum,2016,116,7,192177
Fantastic Beasts and Where to Find Them,Adventure,David Yates,2016,133,7.5,232072
Hidden Figures,Biography,Theodore Melfi,2016,127,7.8,93103
Rogue One,Action,Gareth Edwards,2016,133,7.9,323118
Moana,Animation,Ron Clements,2016,107,7.7,118151
Colossal,Action,Nacho Vigalondo,2016,109,6.4,8612
The Secret Life of Pets,Animation,Chris Renaud,2016,87,6.6,120259
Hacksaw Ridge,Biography,Mel Gibson,2016,139,8.2,211760
Jason Bourne,Action,Paul Greengrass,2016,123,6.7,150823
Lion,Biography,Garth Davis,2016,118,8.1,102061
Arrival,Drama,Denis Villeneuve,2016,116,8,340798
Gold,Adventure,Stephen Gaghan,2016,120,6.7,19053
Manchester by the Sea,Drama,Kenneth Lonergan,2016,137,7.9,134213
Hounds of Love,Crime,Ben Young,2016,108,6.7,1115
Trolls,Animation,Walt Dohrn,2016,92,6.5,38552
Independence Day: Resurgence,Action,Roland Emmerich,2016,120,5.3,127553
Paris pieds nus,Comedy,Dominique Abel,2016,83,6.8,222
Bahubali: The Beginning,Action,S.S. Rajamouli,2015,159,8.3,76193
Dead Awake,Horror,Phillip Guzman,2016,99,4.7,523
Bad Moms,Comedy,Jon Lucas,2016,100,6.2,66540
Assassin's Creed,Action,Justin Kurzel,2016,115,5.9,112813
Why Him?,Comedy,John Hamburg,2016,111,6.3,48123
Nocturnal Animals,Drama,Tom Ford,2016,116,7.5,126030
X-Men: Apocalypse,Action,Bryan Singer,2016,144,7.1,275510
Deadpool,Action,Tim Miller,2016,108,8,627797
Resident Evil: The Final Chapter,Action,Paul W.S. Anderson,2016,107,5.6,46165
Captain America: Civil War,Action,Anthony Russo,2016,147,7.9,411656
Interstellar,Adventure,Christopher Nolan,2014,169,8.6,1047747
Doctor Strange,Action,Scott Derrickson,2016,115,7.6,293732
The Magnificent Seven,Action,Antoine Fuqua,2016,132,6.9,122853
5- 25- 77,Comedy,Patrick Read Johnson,2007,113,7.1,241
Sausage Party,Animation,Greg Tiernan,2016,89,6.3,120690
Moonlight,Drama,Barry Jenkins,2016,111,7.5,135095
Don't Fuck in the Woods,Horror,Shawn Burkett,2016,73,2.7,496
The Founder,Biography,John Lee Hancock,2016,115,7.2,37033
Lowriders,Drama,Ricardo de Montreuil,2016,99,6.3,279
Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall,2011,136,6.7,395025
Miss Sloane,Drama,John Madden,2016,132,7.3,17818
Fallen,Adventure,Scott Hicks,2016,91,5.6,5103
Star Trek Beyond,Action,Justin Lin,2016,122,7.1,164567
The Last Face,Drama,Sean Penn,2016,130,3.7,987
Star Wars: Episode VII - The Force Awakens,Action,J.J. Abrams,2015,136,8.1,661608
Underworld: Blood Wars,Action,Anna Foerster,2016,91,5.8,41362
Mother's Day,Comedy,Garry Marshall,2016,118,5.6,20221
John Wick,Action,Chad Stahelski,2014,101,7.2,321933
The Dark Knight,Action,Christopher Nolan,2008,152,9,1791916
Silence,Adventure,Martin Scorsese,2016,161,7.3,49190
Don't Breathe,Crime,Fede Alvarez,2016,88,7.2,121103
Me Before You,Drama,Thea Sharrock,2016,106,7.4,113322
Their Finest,Comedy,Lone Scherfig,2016,117,7,3739
Sully,Biography,Clint Eastwood,2016,96,7.5,137608
Batman v Superman: Dawn of Justice,Action,Zack Snyder,2016,151,6.7,472307
The Autopsy of Jane Doe,Horror,AndrÃ© Ã˜vredal,2016,86,6.8,35870
The Girl on the Train,Crime,Tate Taylor,2016,112,6.5,102177
Fifty Shades of Grey,Drama,Sam Taylor-Johnson,2015,125,4.1,244474
The Prestige,Drama,Christopher Nolan,2006,130,8.5,913152
Kingsman: The Secret Service,Action,Matthew Vaughn,2014,129,7.7,440209
Patriots Day,Drama,Peter Berg,2016,133,7.4,39784
Mad Max: Fury Road,Action,George Miller,2015,120,8.1,632842
Wakefield,Drama,Robin Swicord,2016,106,7.5,291
Deepwater Horizon,Action,Peter Berg,2016,107,7.2,89849
The Promise,Drama,Terry George,2016,133,5.9,149791
Allied,Action,Robert Zemeckis,2016,124,7.1,78079
A Monster Calls,Drama,J.A. Bayona,2016,108,7.5,39134
Collateral Beauty,Drama,David Frankel,2016,97,6.8,43977
Zootopia,Animation,Byron Howard,2016,108,8.1,296853
Pirates of the Caribbean: At World's End,Action,Gore Verbinski,2007,169,7.1,498821
The Avengers,Action,Joss Whedon,2012,143,8.1,1045588
Inglourious Basterds,Adventure,Quentin Tarantino,2009,153,8.3,959065
Pirates of the Caribbean: Dead Man's Chest,Action,Gore Verbinski,2006,151,7.3,552027
Ghostbusters,Action,Paul Feig,2016,116,5.3,147717
Inception,Action,Christopher Nolan,2010,148,8.8,1583625
Captain Fantastic,Comedy,Matt Ross,2016,118,7.9,105081
The Wolf of Wall Street,Biography,Martin Scorsese,2013,180,8.2,865134
Gone Girl,Crime,David Fincher,2014,149,8.1,636243
Furious Seven,Action,James Wan,2015,137,7.2,301249
Jurassic World,Action,Colin Trevorrow,2015,124,7,455169
Live by Night,Crime,Ben Affleck,2016,129,6.4,27869
Avatar,Action,James Cameron,2009,162,7.8,935408
The Hateful Eight,Crime,Quentin Tarantino,2015,187,7.8,341170
The Accountant,Action,Gavin O'Connor,2016,128,7.4,162122
Prisoners,Crime,Denis Villeneuve,2013,153,8.1,431185
Warcraft,Action,Duncan Jones,2016,123,7,187547
The Help,Drama,Tate Taylor,2011,146,8.1,342429
War Dogs,Comedy,Todd Phillips,2016,114,7.1,106463
Avengers: Age of Ultron,Action,Joss Whedon,2015,141,7.4,516895
The Nice Guys,Action,Shane Black,2016,116,7.4,175067
Kimi no na wa,Animation,Makoto Shinkai,2016,106,8.6,34110
The Void,Horror,Jeremy Gillespie,2016,90,5.8,9247
Personal Shopper,Drama,Olivier Assayas,2016,105,6.3,10181
The Departed,Crime,Martin Scorsese,2006,151,8.5,937414
Legend,Biography,Brian Helgeland,2015,132,7,108836
Thor,Action,Kenneth Branagh,2011,115,7,570814
The Martian,Adventure,Ridley Scott,2015,144,8,556097
Contratiempo,Crime,Oriol Paulo,2016,106,7.9,7204
The Man from U.N.C.L.E.,Action,Guy Ritchie,2015,116,7.3,202973
Hell or High Water,Crime,David Mackenzie,2016,102,7.7,115546
The Comedian,Comedy,Taylor Hackford,2016,120,5.4,1954
The Legend of Tarzan,Action,David Yates,2016,110,6.3,117590
All We Had,Drama,Katie Holmes,2016,105,5.8,1004
Ex Machina,Drama,Alex Garland,2014,108,7.7,339797
The Belko Experiment,Action,Greg McLean,2016,89,6.3,3712
12 Years a Slave,Biography,Steve McQueen,2013,134,8.1,486338
The Bad Batch,Romance,Ana Lily Amirpour,2016,118,6.1,512
300,Action,Zack Snyder,2006,117,7.7,637104
Harry Potter and the Deathly Hallows: Part 2,Adventure,David Yates,2011,130,8.1,590595
Office Christmas Party,Comedy,Josh Gordon,2016,105,5.8,30761
The Neon Demon,Horror,Nicolas Winding Refn,2016,118,6.2,50359
Dangal,Action,Nitesh Tiwari,2016,161,8.8,48969
10 Cloverfield Lane,Drama,Dan Trachtenberg,2016,104,7.2,192968
Finding Dory,Animation,Andrew Stanton,2016,97,7.4,157026
Miss Peregrine's Home for Peculiar Children,Adventure,Tim Burton,2016,127,6.7,101058
Divergent,Adventure,Neil Burger,2014,139,6.7,362093
Mike and Dave Need Wedding Dates,Adventure,Jake Szymanski,2016,98,6,53183
Boyka: Undisputed IV,Action,Todor Chapkanov,2016,86,7.4,10428
The Dark Knight Rises,Action,Christopher Nolan,2012,164,8.5,1222645
The Jungle Book,Adventure,Jon Favreau,2016,106,7.5,198243
Transformers: Age of Extinction,Action,Michael Bay,2014,165,5.7,255483
Nerve,Adventure,Henry Joost,2016,96,6.6,69651
Mamma Mia!,Comedy,Phyllida Lloyd,2008,108,6.4,153481
The Revenant,Adventure,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,2015,156,8,499424
Fences,Drama,Denzel Washington,2016,139,7.3,50953
Into the Woods,Adventure,Rob Marshall,2014,125,6,109756
The Shallows,Drama,Jaume Collet-Serra,2016,86,6.4,78328
Whiplash,Drama,Damien Chazelle,2014,107,8.5,477276
Furious 6,Action,Justin Lin,2013,130,7.1,318051
The Place Beyond the Pines,Crime,Derek Cianfrance,2012,140,7.3,200090
No Country for Old Men,Crime,Ethan Coen,2007,122,8.1,660286
The Great Gatsby,Drama,Baz Luhrmann,2013,143,7.3,386102
Shutter Island,Mystery,Martin Scorsese,2010,138,8.1,855604
Brimstone,Mystery,Martin Koolhoven,2016,148,7.1,13004
Star Trek,Action,J.J. Abrams,2009,127,8,526324
Diary of a Wimpy Kid,Comedy,Thor Freudenthal,2010,94,6.2,34184
The Big Short,Biography,Adam McKay,2015,130,7.8,246360
Room,Drama,Lenny Abrahamson,2015,118,8.2,224132
Django Unchained,Drama,Quentin Tarantino,2012,165,8.4,1039115
Ah-ga-ssi,Drama,Chan-wook Park,2016,144,8.1,33418
The Edge of Seventeen,Comedy,Kelly Fremon Craig,2016,104,7.4,47694
Watchmen,Action,Zack Snyder,2009,162,7.6,410249
Superbad,Comedy,Greg Mottola,2007,113,7.6,442082
Inferno,Action,Ron Howard,2016,121,6.2,97623
The BFG,Adventure,Steven Spielberg,2016,117,6.4,50853
The Hunger Games,Adventure,Gary Ross,2012,142,7.2,735604
White Girl,Drama,Elizabeth Wood,2016,88,5.8,4299
Sicario,Action,Denis Villeneuve,2015,121,7.6,243230
Twin Peaks: The Missing Pieces,Drama,David Lynch,2014,91,8.1,1973
Aliens vs Predator - Requiem,Action,Colin Strause,2007,94,4.7,97618
Pacific Rim,Action,Guillermo del Toro,2013,131,7,400519
"Crazy, Stupid, Love.",Comedy,Glenn Ficarra,2011,118,7.4,396714
Scott Pilgrim vs. the World,Action,Edgar Wright,2010,112,7.5,291457
Hot Fuzz,Action,Edgar Wright,2007,121,7.9,373244
Mine,Thriller,Fabio Guaglione,2016,106,6,5926
Free Fire,Action,Ben Wheatley,2016,90,7,6946
